,City,latitude,longitude,Tipo,Bedrooms,Bathrooms,Surface,Zone,Zone_Val,Price_USD,Price_m2_USD
445,Ciudad de Guatemala,14.622,-90.518,42021,3,0,242.0,Zona 4,4,220000.0,909.09
446,Ciudad de Guatemala,14.622,-90.518,42020,3,0,81.0,Zona 4,4,195745.0,2416.6
447,Ciudad de Guatemala,14.622,-90.518,42021,2,0,127.0,Zona 4,4,89335.0,703.43
448,Ciudad de Guatemala,14.598,-90.493,42020,2,2,120.0,Zona 15,15,162750.0,1356.25
449,Ciudad de Guatemala,14.598,-90.493,42020,3,2,132.0,Zona 15,15,180000.0,1363.64
450,Ciudad de Guatemala,14.598,-90.493,42020,2,2,99.0,Zona 15,15,136500.0,1378.79
451,Ciudad de Guatemala,14.595,-90.495,42020,2,3,115.0,Zona 15,15,210000.0,1826.09
452,Ciudad de Guatemala,14.61,-90.483,42021,3,3,506.0,Zona 16,16,800000.0,1581.03
453,Ciudad de Guatemala,14.611,-90.488,42021,4,7,670.0,Zona 16,16,1800000.0,2686.57
454,Ciudad de Guatemala,14.595,-90.521,42020,1,2,87.0,Zona 9,9,106130.72,1219.89
456,Ciudad de Guatemala,14.643,-90.512,42021,10,10,380.0,Zona 1,1,228758.17,602.0
457,Ciudad de Guatemala,14.61,-90.483,42021,5,5,260.0,Zona 16,16,160000.0,615.38
458,Ciudad de Guatemala,14.635,-90.541,42020,1,1,100.0,Zona 7,7,5228.76,52.29
459,Ciudad de Guatemala,14.61,-90.483,42021,4,4,261.0,Zona 16,16,265000.0,1015.33
460,Ciudad de Guatemala,14.597,-90.504,42020,3,2,96.0,Zona 10,10,184480.0,1921.67
461,Ciudad de Guatemala,14.63,-90.515,42021,3,3,120.0,Zona 1,1,120915.03,1007.63
462,Ciudad de Guatemala,14.666,-90.508,42021,3,3,175.0,Zona 2,2,176470.59,1008.4
463,Ciudad de Guatemala,14.595,-90.495,42020,3,2,91.0,Zona 15,15,183791.0,2019.68
464,Ciudad de Guatemala,14.668,-90.508,42021,3,2,256.0,Zona 2,2,225500.0,880.86
465,Ciudad de Guatemala,14.625,-90.499,42021,3,5,281.0,Zona 5,5,330000.0,1174.38
