revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
5,220000,Zona 10,5/1/20,5/1/20,0.00,2.00,2.00,150.00,14.595,-90.504
6,201299,,5/1/20,5/1/20,0.00,3.00,2.00,230.00,14.634,-90.506
6,90260,,5/1/20,5/1/20,0.00,2.00,2.00,67.00,14.634,-90.506
5,35714,,5/1/20,5/1/20,0.00,3.00,1.00,59.00,14.634,-90.506
7,165000,Zona 10,5/1/20,5/1/20,0.00,2.00,1.00,110.00,14.6,-90.514
8,299000,Zona 10,5/1/20,5/1/20,0.00,2.00,3.00,222.00,14.595,-90.504
6,625000,Zona 10,5/1/20,5/1/20,0.00,3.00,4.00,529.50,14.595,-90.504
23,390000,Zona 10,5/1/20,5/25/20,24.00,3.00,4.00,280.00,14.59,-90.504
14,195000,,12/6/19,5/1/20,147.00,3.00,3.00,100.00,14.634,-90.506
4,84416,Zona 5,5/1/20,5/1/20,0.00,6.00,3.00,165.00,14.623,-90.495
7,150000,Zona 5,5/1/20,5/2/20,1.00,3.00,1.00,274.00,14.626,-90.497
6,100649,Zona 11 de Mixco,4/30/20,4/30/20,0.00,3.00,2.00,135.00,14.679,-90.538
7,178571,Zona 9,4/30/20,5/4/20,4.00,3.00,4.00,221.00,14.595,-90.521
12,350000,Zona 4,10/5/19,4/30/20,208.00,3.00,3.00,382.00,14.615,-90.519
7,155000,Zona 15,4/30/20,4/30/20,0.00,3.00,2.00,160.00,14.595,-90.495
6,198000,Zona 15,4/28/20,4/28/20,0.00,2.00,2.00,140.00,14.595,-90.495
11,225000,Zona 1,1/22/20,4/28/20,97.00,3.00,3.00,125.00,14.63,-90.515
6,258442,Zona 7,4/28/20,4/28/20,0.00,6.00,3.00,200.00,14.626,-90.549
6,2857,Zona 3,4/28/20,4/28/20,0.00,3.00,1.00,122.41,14.632,-90.525
7,24675,Zona 1,1/28/20,4/28/20,91.00,2.00,1.00,51.00,14.63,-90.513
77,100649,Zona 11 de Mixco,4/28/20,6/3/20,36.00,3.00,3.00,135.00,14.677,-90.538
5,142857,Zona 1,4/27/20,4/27/20,0.00,2.00,2.00,55.00,14.63,-90.515
5,184675,Zona 15,4/27/20,4/27/20,0.00,3.00,2.00,110.00,14.595,-90.495
19,336000,Zona 15,4/27/20,5/19/20,22.00,4.00,2.00,176.00,14.593,-90.495
5,181818,Zona 1,4/27/20,4/27/20,0.00,6.00,2.00,375.00,14.636,-90.51
259,90909,Zona 9,1/28/20,6/3/20,127.00,4.00,4.00,250.00,14.603,-90.521
55,55708,Zona 4,4/27/20,5/22/20,25.00,1.00,1.00,25.00,14.62,-90.515
78,123212,Zona 4,4/27/20,6/3/20,37.00,3.00,2.00,65.00,14.62,-90.515
80,76020,Zona 4,4/27/20,6/3/20,37.00,2.00,1.00,36.00,14.62,-90.515
5,183333,Zona 15,4/25/20,4/25/20,0.00,2.00,2.00,120.00,14.604,-90.489
5,700000,Zona 10,4/25/20,4/25/20,0.00,3.00,4.00,568.50,14.595,-90.504
9,224500,Zona 15,4/25/20,4/25/20,0.00,1.00,2.00,200.00,14.595,-90.495
5,520001,Zona 15,4/25/20,4/25/20,0.00,3.00,4.00,240.00,14.611,-90.487
5,350000,Zona 9,4/25/20,4/25/20,0.00,4.00,2.00,448.00,14.595,-90.521
5,324675,Zona 2,4/25/20,4/25/20,0.00,6.00,4.00,600.00,14.659,-90.509
5,100649,Zona 11 de Mixco,4/22/20,4/22/20,0.00,3.00,2.00,135.00,14.675,-90.539
5,191558,Zona 2,4/22/20,4/22/20,0.00,3.00,2.00,175.00,14.659,-90.509
25,81169,Zona 2,4/22/20,4/23/20,1.00,1.00,2.00,52.00,14.666,-90.508
7,132857,Zona 16,4/22/20,6/1/20,40.00,1.00,1.00,47.00,14.61,-90.483
5,155000,Zona 16,4/22/20,4/22/20,0.00,3.00,2.00,95.00,14.614,-90.484
8,275000,Zona 7,4/22/20,4/22/20,0.00,4.00,3.00,523.15,14.629,-90.559
5,214286,Zona 1,4/22/20,4/22/20,0.00,7.00,5.00,480.00,14.636,-90.51
89,123212,Zona 4,4/22/20,6/3/20,42.00,3.00,2.00,77.00,14.62,-90.515
